ind_Latn,sun_Latn
Di sana ia mengerjakan terjemahannya selama tiga tahun.,Di dinya manéhna migawé tarjamahanna lilana tilu taun.
"Coolsma menemukan bahwa sastra Sunda lebih didominasi syair, termasuk narasi wawacan, dan berpikir bahwa prosa perlu dikembangkan sehingga orang-orang mau menghadapi modernitas. ia menganggap bahwa mereka jarang membaca dan lebih suka mendengar orang-orang berpendidikan bernyanyi.","Coolsma manggihan yén sastra Sunda leuwih didominasi sair, kawengku narasi wawacan, sarta pikirina yén prosa kudu dimekarkeun sangkan jalma réa daék nyaghareupan modérnitas. Manéhna boga pikir yén urang Sunda teu pati resep maca, resepna ngadéngékeun priyayi nyanyi."
"Dengan demikian, maksud prosa tertulis ini tidak akan dibawa.","Ku kituna, nu dimaksud tulisan prosa téh moal dibawa."
Belum lagi ia tidak suka syair Sunda.,Acan deuih manéhna téh teu resep sair Sunda.
"Ia sangat apresiatif dengan bentuk ayat dangding – berasal dari tradisi sastra Jawa – yang dipakai untuk menulis wawacan, dan menganggap terjemahan Injil Matius yang sudah ada dalam bentuk dangding sebagai buku berbahasa Sunda terbaik yang pernah dicetak.","Manéhna mah leuwih apresiatif kana wangun dangding – nu asalna tina tradisi sastra Jawa – anu dipaké pikeun nulis wawacan, sarta pikirna tarjamahan Injil Matius anu geus nyangkaruk mangrupa buku Sunda nu panghadéna dina wangun dangding nu pernah dicitak."
"Akhirnya, Coolsma memilih menerjemahkan Injil Yohanes dan Kisah Para Rasul ke dalam bentuk prosa sambil percaya bahwa dangding ""terlalu tradisional untuk mengusung ide-ide baru"" dan berharap mempromosikan ""semangat baru"". Akan tetapi, karena alasan keteraksesan ia menulisnya dengan aksara Jawi yang dapat dibaca sebagian penduduk Sunda yang melek huruf, tidak seperti aksara Jawa atau Latin yang juga dipakai di daerah itu. Terjemahan tadi meluas hingga Perjanjian Baru dan pada 1890-an sudah mencapai seluruh Alkitab. Sayangnya terjemahan ini sedikit dibaca.","Antukna, Coolsma milih narjamahkeun Injil Yohanes jeung Kisah Para Rasul kana wangun prosa sabari yakin yén dangding ""tradisional teuing pikeun rumojong ideu-ideu anyar"" sarta miharep mromosikeun ""sumanget anyar"". Ngan kitu téa, kusabab alesan kaaksaraan manéhna nulis ku aksara Jawi anu bisa dibacana ngan ku sawatara urang Sunda anu geus bisa maca wungkul, teu siga Cacarakan atawa Latén anu dipaké di wewengkon Sunda. Éta tarjamahan milega nepi kana Pajangjian Anyar jeung dina taun 1890-an geus nepi ka sakabéh Injil. Ngan hanjakal ieu tarjamahan teu remen dibaraca."
Coolsma pulang ke Belanda bersama istrinya pada tahun 1876 dan menjadi ketua NZV sampai 1908. Ia mempertentangkan ide bahwa kerja misionaris harus fokus pada wilayah timur koloni yang belum terislamisasi.,Coolsma mudik ka Walanda bareng pamajikanna taun 1876 sarta jadi pupuhu NZV nepi ka 1908. Manéhna ngadungdengkeun ideu yén pagawéan misionaris kudu fokus ka wewengkon wétan anu can kaasupan ku Islam.
"Ia percaya bahwa kerja misionaris harus diutamakan di wilayah barat, tempat Islam sudah sangat mengakar.","Manéhna percaya yén pagawéan misionaris kudu diutamakeun di wilayah kulon, tempat Islam nu geus ngakar pisan."
Coolsma terus menulis tentang kerja misionaris dan bahasa Sunda.,Coolsma tuluy nulis ngeunaan gawéna misionaris jeung basa Sunda.
"Pada tahun 1881, ia menulis serangkaian tinjauan kritis terhadap buku-buku sekolah berbahasa Sunda yang disediakan pemerintah kolonial, berpendapat bahwa kontennya bernilai kecil dan bahasanya kebanyakan dibuat-buat. Ia menerbitkan kamus bahasa Sunda-Belanda tahun 1884 setelah mempelajari berbagai literatur Sunda untuk leksemenya. Tahun 1901, ia menerbitkan riwayat misi di Hindia Belanda dengan judul De zendingseeuw voor Nederlandsche Oost-Indiës (Abad Misi di Hindia Belanda).","Taun 1881, manéhna nulis runtuyan tungtikan kritis kana buku-buku sakola nu migunakeun basa Sunda anu disayagakeun pamaréntah kolonial, manéhna boga kedalan yén eusina saeutik pisan sarta basana siga dijieun-jieun. Manéhna medalkeun kamus basa Sunda-Walanda tahun 1884 sanggeus nungtik sarupaning literatur Sunda pikeun léksemena. Taun 1901, manéhna medalkeun jujutan misi di Hindia Walanda ku judul De zendingseeuw voor Nederlandsche Oost-Indiës (Abad Misi di Hindia Walanda)."
Buku ini menyebut abad ke-19 masa pertumbuhan cepat.,Ieu buku nyebutkeun abad ka-19 mangrupa mangsa patumuwuhan cepat.
"Pada tahun 1904, Coolsma menerbitkan versi revisi buku tata bahasanya.","Taun 1904, Coolsma medalkeun vérsi révisi buku tata basana."
"Bersama misionaris Christiaan Albers, yang juga mengabarkan Injil di Cianjur, Coolsma menerbitkan kamus bahasa Belanda-Sunda tahun 1911 dan diikuti versi revisi kamus Sunda-Belandanya tahun 1913. Istri Coolsma meninggal dunia tanggal 27 September 1917. Kematiannya membuat ia mengurangi beban kerjanya, namun tetap meluangkan waktu untuk menerbitkan memoarnya, Terugblik op mijn levensweg, 1840–1924 (Melihat Balik ke Kehidupanku, 1840–1924), in 1924. Ia meninggal dua tahun kemudian pada tanggal 20 Maret 1926.","Bareng jeung misionaris Christiaan Albers, anu nyumebarkeun Kristen ogé di Cianjur, Coolsma medalkeun kamus basa Walanda-Sunda taun 1911 patutur-tutur jeung vérsi révisi kamus Sunda-Walandana tahun 1913. Pamajikan Coolsma tilar dunya tanggal 27 Séptémber 1917. Tilarna éta ngabalukarkeun manéhna ngurangan kana beban digawéna, tapina angger ngalongkrangkeun waktu pikeun medalkeun memoarna, Terugblik op mijn levensweg, 1840–1924 (Nilik Balik ka Hirup Kuring, 1840–1924), dina 1924. Colsma tilar dunya dua taun ti harita dina tanggal 20 Maret 1926."
"Coolsma dianugerahkan Knight of the Order of Orange-Nassau sebelum kematiannya. Moriyama menulis bahwa kamus dan tata bahasa Coolsma yang ""tak tersaingi"" memiliki dampak yang lebih besar daripada terjemahan Alkitabnya dan menjadi dasar standardisasi bahasa Sunda tertulis. Tata bahasanya masih dijadikan sumber pasti tentang sintaks bahasa Sunda, dan meski pemerintah kolonial membatasi distribusinya – khawatir penerbitan karya misionaris Kristen akan memprovokasi populasi Sunda Muslim – buku ini dipakai di berbagai lembaga pendidikan Sunda. Pada tahun 1985, buku tata bahasa ini diterjemahkan ke bahasa Indonesia dan diterbitkan kembali oleh Djambatan.","Coolsma dilélér Knight of the Order of Orange-Nassau saméméh maotna. Moriyama nulis yén kamus jeung tata basa Coolsma anu ""teu kasaingan"" mibanda balukar nu leuwih badag tinimbang tarjamahan Injilna sarta jadi dasar standardisasi tulisan basa Sunda. Tata basana masih kénéh dijadikeun sumber pasti ngeunaan sintaks basa Sunda, sok sanajan pamaréntah kolonial ngawatesan distribusina – inggis medalna karya misionaris Kristen bakal mrovokasi populasi Sunda Muslim – ieu buku dipaké di sakumna lembaga atikan Sunda. Taun 1985, ieu buku tata basa ditarjamahkeun kana basa Indonesia sarta dimedaleun deui ku Djambatan."
"Lie Kim Hok, salah satu murid Coolsma Phoa Keng Hek, salah satu murid Coolsma","Lie Kim Hok, salah saurang murid Coolsma Phoa Keng Hek, salah saurang murid Coolsma"
"Coolsma, Sierk. Terugblik op mijn levensweg, 1840–1924 [Looking Back at My Life, 1840–1924] (dalam Belanda). Rotterdam: J.M. Bredee.","Cutatan kosong (help) Coolsma, Sierk."
"OCLC 10209485. CS1 maint: Unrecognized language (link) Coolsma, Sierk. ""Terugblik op mijn levensweg, 1840–1924"" (pdf) (dalam Belanda).","""Terugblik op mijn levensweg, 1840–1924"" (dalam bahasa Belanda) (pdf)."
Diakses tanggal 4 Februari 2013. CS1 maint: Unrecognized language (link),Diakses pada Éror: titimangsa teu valid.
Nomor Pokok Sekolah Nasional (NPSN) adalah kode pengenal sekolah Indonesia yang bersifat unik dan membedakan satu sekolah dengan sekolah lainnya.,Nomer Pokok Sakola Nasional (NPSN) nyaéta kodeu pangwanoh pikeun sakola di Indonesia anu unik sarta ngabédakeun hiji sakola jeung sakola séjénna.
Pranala luar,Tutumbu luar
"Sistem NPSN bersifat nasional dan menggantikan kode-kode sebelumnya (seperti NIS) yang berbeda-beda formatnya dari satu wilayah ke wilayah lainnya. Sebelumnya, aturan penyusunan kode pengenal sekolah antara satu provinsi dapat berbeda dengan provinsi lain.","Ati sistimna lumaku sacara nasional sarta ngagantikeun kodeu-kodeu saméméhna kayaning NIS (Nomer Induk Sakola), NSS (Nomer Statistik Sakola) jsb. anu formatna béda-béda ti hiji wewengkon ka wewengkon séjén téh. Saméméhna aturan panyusunan kodeu pangwanoh sakola téh antara hiji provinsi jeung provinsi séjén téh bisa bararéda."
"Akibatnya terjadi kegandaan data sekolah yang dapat berimbas pada sistem penggajian, penilaian, dan registrasi lainnya. NPSN merupakan penyederhanaan dan penggabungan sistem sehingga setiap sekolah akan memiliki kode unik dan menjadi pembeda utama antar satu sekolah dengan sekolah lainnya di seluruh Indonesia.","Anu balukarna sok kajian nomer ganda sarta data sakola ganda anu tumuluy ngalieurkeun kana sistim buburuhan, pameunteunan sarta régistrasi séjénna. NPSN mangrupa panyederhanaan sarta panggabungan sistim sangkan unggal sakola barus miboga kodeu unik, ogé jadi pangbéda utama antara hiji sakola jeung sakola lianna di sakuliah Indonésia."
NPSN adalah kode pengenal yang ditetapkan oleh Pusat Data dan Statistik Pendidikan (PDSP) dan diberikan kepada satuan pendidikan (sekolah) melalui dinas pendidikan kabupaten/kota diseluruh wilayah Indonesia. Penggunaan NPSN dimaksudkan untuk kemudahan dalam pengelolaan data satuan pendidikan.,NPSN nyaéta kodeu pangwanoh anu ditangtukeun ku Pusat Data jeung Statistik Pendidikan (PDSP) disumebarkeun ka unggal sakola liwat Dinas Pendidikan Kabupatén/Kota di sakumna wewengkon di Indonésia. Pamakéan NPSN ditojokeun pikeun ngagampangkeun dina ngokolakeun data sakola.
"Dasar pengembangan NPSN adalah Permendikbud No. 99 tahun 2013 tentang “Tata Kelola Teknologi Informasi dan Komunikasi di Lingkungan Kemendikbud”, Inmen Kemdikbud No. 2 Tahun 2011 “Tentang Kegiatan Pengelolaan Data Pendidikan Menteri Pendidikan Nasional”, dan Surat Keputusan Kabalitbang Diknas Nomor 3574/G.G4/KL/2009, tanggal 22 Oktober 2009, tentang “Nomor Pokok Sekolah Nasional sebagai nomor unik satuan pendidikan”","Anu jadi dadasar dina ngamekarkeun NPSN nyaéta Permendikbud No. 99 taun 2013 ngeunaan “Tata Kelola Teknologi Informasi dan Komunikasi di Lingkungan Kemendikbud”, Inmen Kemdikbud No. 2 Taun 2011 ngeunaan ""Kegiatan Pengelolaan Data Pendidikan Menteri Pendidikan Nasional”, sarta Surat Kaputusan Kabalitbang Diknas Nomer 3574/G.G4/KL/2009, tanggal 22 Oktober 2009, ngeunaan “Nomor Pokok Sekolah Nasional sebagai nomor unik satuan pendidikan”"
Format NPSN terdiri dari 8 digit secara acak.,Format NPSN kawengku ku 8 dijit anka sacara acak.
Program kejuruan,Program Kajuruan
"Afiliasi merupakan salah satu cara mengembangkan bisnis dengan cara memanfaatkan sosialisasi yang secara terarah dilakukan oleh individu, badan usaha atau organisasi dan kedua belah pihak akan mendapatkan keuntungan seperti yang sudah disepakati bersama. Pembentukan kontak sosial ini menghasilkan sebuah pertalian. Istilah ini disebut juga dengan istilah motif yang artinya adalah tenaga pendorong atau penggerak kebutuhan yang ada pada manusia dan bersifat universal. Dalam perkembangannya, manusia membentuk afiliasi didasari oleh alasan formal dan rasional. Manusia memiliki alasan logis kenapa dia ingin membentuk afiliasi. Akan tetapi, tanpa ada dorongan ini pun mesti diakui bahwa manusia membutuhkan orang lain dan secara alami membangun kontak sosial. Alasannya adalah manusia tidak dapat memenuhi kebutuhannya tanpa ada campur tangan dari orang lain. Bidang ilmu yang banyak meneliti mengenai dorongan seseorang untuk selalu membangun kontak sosial adalah psikologi. Penelitian menunjukkan bahwa afiiliasi seseorang erat hubungannya dengan kebutuhan akan ketergantungan dengan orang lain. Psikologi juga meneliti kaitan antara afiliasi dengan kebutuhan seseorang untuk diakui dan diterima oleh lingkungannya. Penelitian psikologis dalam bidang kepribadian menunjukkan bahwa tingkat afiliasi setiap orang berbeda-beda derajatnya.","Affiliate nyaéta hiji cara pikeun ngamekarkeun bisnis ku cara ngamangpaatkeun sosialisasi anu katojo dipilampah ku individu, éntitas bisnis atawa organisasi sarta dua pihakna téh bakal meunang kauntungan minangkana nu geus dipaheutkeun. Ieu pangwangunan kontak sosial téh ngahasilkeun hiji patalian. Ieu istilah ogé disebut ku istilah motif nu hartina nyaéta tanaga dodorong atawa pangrojong kabutuhan anu aya dina diri jalma sarta watekna universal. Dina kumembangna, manusa ngawangun afiliasi didasaran ku alesan formal sarta rasional. Manusa mibanda alesan logis kunaon manéhna hayang ngawangun afiliasi. Tapina, tanpa ayana ieu dorongan mah, kudu diaku ogé yén jalma mikabutuh jalma séjén jeung sacara alami ngawangun kontak sosial. Alesanna mah jalma teu bisa minuhan kabutuhna tanpa ayana campur leungeun ti jalma séjén. Widang élmu nu loba nalungtik kana dorongan hiji jalma pikeun terus ngawangun kontak sosial téh nyaéta psikologi. Panalungtikan némbongkeun yén afiiliasi hiji jalma ruket pisan patalina jeung kabutuhan kana gumantungna jeung jalma séjén. Psikologi ogé nalungtik tumalina antara afiliasi jeung kabutuhan hiji jalma pikeun diaku sarta ditarima ku lingkunganna. Panalungtikan psikologis dina widang kapribadian némbongkeun yén tingkat afiliasi unggal jalma béda-béda undakanna."
Diakses tanggal 3 Juni 2014. Cite web URL http://kbbi.web.id/afiliasi Source title Kamus Besar Bahasa Indonesia URL access date 3 Juni 2014,Diaksés ping 3 Juni 2017.
Singkatan secara sederhana merupakan sebuah huruf atau sekumpulan huruf sebagai bentuk pendek dari sebuah atau beberapa kata.,Wancahan nyaéta hurup atawa sakumpulan hurup meunang mondokkeun tina hiji atawa sababaraha kecap. Contona: kecap geulis sok disingget jadi lis atawa eulis.
Sebagai contoh: kata sebagai kadang-kadang disingkat sbg.,Sekolah Menengah Atas disinget jadi SMA.
"akronim/inisial kata, singkop/aposkop, secara fonetik dari kata yang akan disingkat.","akronim/inisial tina kecap, singkop/aposkop, sacara fonétik tina kecap nu rék disingget."
Hitung cepat atau jajak cepat (bahasa Inggris: quick count) adalah sebuah metode verifikasi hasil pemilihan umum yang dilakukan dengan menghitung persentase hasil pemilu di tempat pemungutan suara (TPS) yang dijadikan sampel.,Nyacah Gancang (Basa Inggris: quick count) nyaéta hiji métode pikeun ngira-ngira hasil pamilihan umum (pamilu). Carana mah ukur ngitung hasil ahir sora di TPS (Tempat Pemungutan Suara) nu dijadikeun conto (sampel).
"Berbeda dengan survei perilaku pemilih, survei pra-pilkada atau survei exit poll, hitung cepat memberikan gambaran dan akurasi yang lebih tinggi, karena hitung cepat menghitung hasil pemilu langsung dari TPS target, bukan berdasarkan persepsi atau pengakuan responden.","Sangkan TPS conto bisa ngawakilan sakabéh TPS nu aya dipilih maké métode acak statistik. Hasilna bisa gancang sabab teu jiga cara ngitung lembaga pamilihan pamaréntah (KPU/KPUD/KIP) nu bertingkat, Nyacah Gancang mah, salian teu sakabeh TPS diitung, langsung ngitung saréngsé TPS ngitung sora."
"Selain itu, hitung cepat bisa menerapkan teknik sampling probabilitas sehingga hasilnya jauh lebih akurat dan dapat mencerminkan populasi secara tepat.","Ku kamajuan téhnologi, kiwari mun make Nyacah Gancang hasil pamilihan bisa kanyahoan sababara jam sanggeus TPS tutup."
Hitung cepat,Nyacah Gancang
Carlin banyak dianggap orang sebagai penerus pelawak Lenny Bruce dan digambarkan oleh stasiun televisi Comedy Central sebagai pelawak tunggal terbesar sepanjang sejarah kedua setelah Richard Pryor dan sebelum Lenny Bruce.,"Carlin loba dianggap panerus Lenny Bruce. Digambarkeun ku stasiun telepisi Comedy Central salaku Mandahong Borangan sapanjang sajarah, kadua sanggeus Richard Pryor tapi onjoy ti Lenny Bruce."
"Ia juga merupakan orang pertama yang menjadi bintang tamu acara komedi televisi mingguan Amerika ""Saturday Night Live"".","Manéhna nu munggaran jadi béntang tamu dina acara komédi telepisi mingguan Amerika ""Saturday Night Live""."
"1963: Burns and Carlin at the Playboy Club Tonight 1966: Take-Offs and Put-Ons January 27, 1972: FM & AM September 29, 1972: Class Clown October 1973: Occupation: Foole November 1974: Toledo Window Box October 1975: An Evening with Wally Londo Featuring Bill Slaszo April 1977: On the Road November 1981: A Place for My Stuff 1984: Carlin on Campus July 30, 1986: Playin' with Your Head August 15, 1988: What Am I Doing In New Jersey? November 20, 1990: Parental Advisory: Explicit Lyrics November 10, 1992: Jammin' in New York October 27, 1992: Classic Gold April 10, 1995: Killer Carlin September 17, 1996: Back in Town May 14, 1999: You Are All Diseased October 19, 1999: The Little David Years (1971-1977) December 11, 2001: Complaints and Grievances March 12, 2002: George Carlin on Comedy January 10, 2006: Life Is Worth Losing March 2008: It's Bad for Ya",1963: Burns and Carlin at the Playboy Club Tonight 1966: Take-Offs and Put-Ons 27 Januari 1972: FM & AM 29 Séptémber 1972: Class Clown Oktober 1973: Occupation: Foole Nopémber 1974: Toledo Window Box Oktober 1975: An Evening with Wally Londo Featuring Bill Slaszo April 1977: On the Road Nopémber 1981: A Place for My Stuff 1984: Carlin on Campus 30 Juli 1986: Playin' with Your Head 15 Agustus 1988: What Am I Doing In New Jersey? 20 Nopémber 1990: Parental Advisory: Explicit Lyrics 10 Nopémber 1992: Jammin' in New York 27 Oktober 1992: Classic Gold 10 April 1995: Killer Carlin 17 Séptémber 1996: Back in Town 14 Méi 1999: You Are All Diseased 19 Oktober 1999: The Little David Years (1971-1977) 11 Désémber 2001: Complaints and Grievances 12 Maret 2002: George Carlin on Comedy 10 Januari 2006: Life Is Worth Losing Maret 2008: It's Bad for Ya
"George Denis Patrick Carlin (lahir tanggal 12 Mei 1937 di Manhattan, New York City, Amerika Serikat - meninggal tanggal 22 Juni 2008 di Los Angeles, California, Amerika Serikat berumur 71) adalah seorang pelawak tunggal Amerika pemenang Grammy Award, aktor dan penulis.","George Denis Patrick Carlin (lahir 12 Méi 1937 di Manhattan, New York, Amérika Sarikat - maot tanggal 22 Juni 22 2008 di Los Angeles, California, Amérika Sarikat, yuswa 71) nyaéta saurang Borangan (Ngabodor Nyorangan) ti Amerika nu kungsi meunang Grammy Award, salaku aktor jeung panulis."
"Carlin dikenal terutama untuk humor-humor politis dan getirnya, dan observasinya terhadap tata bahasa, psikologi dan agama bersama dengan banyak topik-topik tabu lainnya.","Carlin kawéntar ku bodor-bodor pulitik jeung hideung. Ogé panitén-na kana kabeungharan kecap, psikologi jeung agama nu dibarengkeun jeung macem-macem jejer pamali séjénna."
"Carlin dan materi komedi ""Tujuh Kata-kata Jorok""-nya menjadi pusat dalam kasus FCC (Komisi Komunikasi Federal Amerika Serikat) melawan Pacifica Foundation, perusahaan pengelola Radio FM di New York yang menyiarkan komedi Carlin tersebut.","Carlin jeung materi ngabodor ""Tujuh Kecap Cawokah""-na téh nu jadi puseur kasus FCC (Komisi Komunikasi Federal Amérika Sarikat) ngalawan Yayasan Pacifica, lembaga nu ngurus Radio FM di New York nu nyiarkeun comedy Carlin éta."
"Dalam kasus ini, keputusan 5 setuju melawan 4 tidak setuju memutuskan bahwa pemerintah berhak untuk mengawasi tingkah-polah Carlin dan materi komedinya di gelombang telekomunikasi publik.","5 urang sapuk, ngalawan 4 nu teu sapuk, mutuskeun yén pamaréntah boga hak pikeun nalingakeun polah Carlin jeung materi bodorna dina gelombang telekomunikasi publik."
Materi komedi George Carlin belakangan saat ini umumnya berfokus pada sindirannya terhadap gaya hidup modern Amerika.,"Katompernakeun, materi bodor George Carlin umumna pokus sindir-sampir kana gaya hirup Amérika modéren."
Ia kerap kali mengambil topik masalah-masalah politik di Amerika Serikat yang sedang populer dan menyindir secara tajam efek-efek negatif dari kebudayaan Amerika.,Manéhna mindeng nyokot topik isu pulitik di Amérika Sarikat nu polilér.
Kelahiran,Kalahiran
"Totoh Abdul Fatah rahimahullah lahir di Bandung, Jawa Barat, 31 Agustus 1931 meninggal dunia, 1 September 2008) adalah seorang ulama besar di Jawa Barat Pengasuh Pondok Pesantren Al-Jawami' Bandung, pernah menjabat Ketua MUI Provinsi Jawa Barat, Anggota MPR RI FKP (1992-1999).","Totoh Abdul Fatah rahimahullah lahir di Bandung, Jawa Kulon, 31 agustus 1931 maot 1 November 2008) nyaéta saurang ulama besar di Jawa Kulon, Pangaping pondok Pasantrén Al-Jawami' Bandung, pernah ngajabar minangka Pupuhu MUI Propinsi Jawa Barat, Anggota MPR FKP (1992-1999)."
Dikenal sebagai satu di antara lima ulama kharismatik Jawa Barat.,Dipikawanoh minangka salah sahiji ti lima ulama harismatik Jawa Kulon.
"Empat ulama kharismatik Jawa Barat K.H. Ilyas Ruhiyat (sesepuh Pondok Pesantren Cipasung Tasikmalaya), KH.","Opat ulama harismatik Jawa Barat lianna: K. H. Ilyas Ruhiyat (kokolot Pondok Pasantren Cipasung Tasikmalaya), KH."
"Anwar Musaddad (sesepuh Pondok Pesantren Al-Musaddadiyah Garut), K.H. Irfan Hielmy, (sesepuh Pondok Pesantren Darussalam Ciamis, serta K.H. Abdulah Abbas (sesepuh Pondok Pesantren Buntet, Cirebon) merupakan sesepuh sekaligus ulama kharismatik Jawa Barat yang terus mengabdikan hidupnya untuk kemaslahatan umat dan bangsa.","Anwar Musaddad (kokolot Pondok Pasantren Al-Musaddadiyah Garut), K. H. Irfan Hielmy, (kokolot Pondok Pasantren Darussalam Ciamis), sarta K. H. Abdullah Abbas (kokolot Pondok Pesantren Buntet, Cirebon) nyaéta kokolot sakaligus ulama harismatik Jawa Kulon, nu terus ngabaktikeun hirupna pikeun kamaslahatan umat jeung bangsa."
Pesantren Sindangsari Al-Jawami didirikan pada tanggal 03 Mei 1931 oleh Asy-Syaikh K.H. Muhammad Sudja’i (Almarhum) dengan nama asalnya Pesantren “Sindangsari”.,Pasantren Sindangsari Al-Jawami diadegkeun dina tanggal 3 Méi 1931 ku Asy-Syaikh K.H. Muhammad Sudja’i (Jenat) nu ngaran asalna mah Pasantren “Sindangsari”.
Inisiatif KH.,Gagasan KH.
"Muhammad Sudjai ini mendapat dukungan dari ayah dia yaitu K.H. Muhammad Ghazali dan dukungan paman dia yaitu H. Tamim serta saudara-saudara dia, yaitu K.H. Saeroji dan K.H. Dimyati.","Muhammad Sudjai ieu meunang rorojong ti bapana nyaéta K.H. Muhammad Ghazali sarta dukungan uwana nyaéta H. Tamim katut dulur-dulurna, nyaéta K.H. Saeroji jeung K.H. Dimyati."
"Pesantren “Sindangsari” merupakan pesantren tradisional yang cukup terkemuka di Jawa Barat, sehingga sampai saat ini sudah melahirkan ribuan alumni dari tahun 1931.","Pasantren “Sindangsari” mangrupa pasantren tradisional anu cukup kasohor di Jawa Kulon, sahingga nepi ka kiwari geus medalkeun rébuan alumni ti taun 1931."
"Mereka pada umumnya menjadi ulama-ulama di berbagai pelosok di Jawa Barat, dan diantaranya tidak sedikit yang menjadi pejabat pemerintah dan menjadi pengusaha terkemuka.","Maranéhna mah umumna jadi ulama-ulama di sawatara wewengkon di Jawa Kulon, sarta diantarana teu saeutik anu jadi pajabat pamaréntah jeung jadi pangusaha kakoncara."
"Pada tahun 1960-an pembangunan ditingkatkan dengan dibentuknya Panitia Pembangunan Pesantren, antara lain Bapak H. Djunaedi (sebagai Ketua Pembangunan) dan K.H. Rd.","Dina taun 1960-an pangwangunan dironjatkeun ku disusunna Panitia pikeun Pangwangunan Pasantrén, diantarana, Mr. H. Djunaedi (minangka Pupuhu Pangwangunan) jeung K. H. Rd."
"Totoh Abdul Fatah, menantu K.H. Muhammad Sudja’i menjadi Wakil Ketua, Bpk.","Totoh Abdul Fatah, minantu K. H. Muhammad Sudja'i jadi Wakil Pupuhu, Bpk."
"H. Shaleh (Sekretaris) dan tokoh-tokoh lainnya seperti R.H. Yahya (Caringin), sebagai seksi usaha dana, yaitu pembangunan yang meliputi fisik madrasah yang besar dan masjid dalam pembangunan kedua yang hasilnya lebih baik dibanding dengan pembangunan pertama pada tahun 1931.","H. Salih (Girang serat) jeung tokoh lianna kayaning R. H. Yahya (Caringin), minangka séksi usaha dana, nyaéta pangwangunan nu ngawengku fisik madrasah nu badag jeung masjid dina pangwangunan kadua hasilna leuwih hadé tinimbang jeung nu mimiti dina taun 1931."
"Pada tahun 1977 bersamaan dengan diselenggarakannya lembaga pendidikan formal, nama Pesantren “Sindangsari” ditingkatkan dengan nama Pesantren Sindangsari Al-Jawami Cileunyi Bandung.","Dina taun 1977 bareng jeung diadegkeunna lembaga atikan formal, ngaran Pasantren “Sindangsari” diwuwuhan ku ''Al-Jawami''' jadi ngaranna Pasantren Sindangsari Al-Jawami' Cileunyi Bandung."
Al-Jawami memiliki pengertian “lengkap dan universal”.,Al-Jawami miboga harti “lengkep jeung universal”.
"Nama ini juga diambil dari nama sebuah kitab yang disenangi Asy-Syaikh K.H. Muhammad Sudja’i, sesepuh pesantren, yaitu Kitab Ushul Fiqih “Jamul Jawami” dan peletakan batu pertama Madrasah Aliyah langsung oleh dia sendiri disaksikan oleh Bapak H.Aang Kunaefi, Gubernur Jawa Barat periode 1975 – 1985 dan Letjend.","Ieu ngaran ogé dicokot tina ngarn hiji kitab anu dipirese ku Asy-Syaikh K.H. Muhammad Sudja’i, kokolot pasantren, nyaéta Kitab Ushul Fiqih ''Jamul Jawami'' sarta pamasangan batu munggaran Madrasah Aliyah langsung ku anjeunna sorangan disakséni ku Bapak H. Aang Kunaefi, Gubernur Jawa Kulon périodeu 1975 – 1985 sarta Letjend."
"Sejak saat itulah secara bertahap, lembaga pendidikan formal di Pesantren Sindangsari Al-Jawami mulai didirikannya pendidikan formal dipimpin oteh K.H.R. Totoh Abdul Fatah di bawah naungan Yayasan Pembina Pendidikan Tinggi (YAPATA) Al-Jawami yaitu Madrasah Aliyah (1977), Sekolah Tinggi Bahasa Asing (1989), Sekolah Tinggi Agama Islam (1999), Taman Kanak-kanak (2000) di lingkungan Pontren Al-Jawami, yang sekarang diasuh oleh putera keempatnya, Dr. H. Deding Ishak Ibnu Sudja', SH.,MM., dosen UIN dan juga anggota DPR RI dari Golkar periode (2014-2019).","Ti saprak harita, saeutik-saeutik lembaga atikan formal di Pasantren Sindangsari Al-Jawami' mimiti diaradegkeun, diantarana atikan formal nu dipingpin ku K. H. R. Totoh Abdul Fatah nu ditangtayungan Yayasan Pembina Pendidikan Tinggi (YAPATA) Al-Jawami' nyaéta Madrasah Aliyah (1977), Sakola Luhur Basa Asing (1989), Sakola Luhur Agama Islam (1999), Taman Kanak-kanak (2000) di lingkungan Pontren Al-Jawami', nu kiwari diaping ku putrana nu ka opat, Dr. H. Deding Ishak Ibnu Sudja', SH.,MM., dosén UIN sarta anggota DPR ti Golkar periode (2014-2019)."
"Pada tahun 2001, pembangunan fisik kepesantrenan diserahkan oleh K.H. Totoh Abdul Fatah kepada K.H. Imang Abdul Hamid.","Dina 2001, pangwangunan fisik kapasantrenan diserahkeun ku K.H. Totoh Abdul Fatah ka K. H. Imang Abdul Hamid."
"Sedangkan para sesepuh yaitu K.H. Manshur, K.H. Endang Rachmat, KH.R. Totoh Abdul Fatah dan putera-puteri pendiri lainnya sebagai penasihat dalam pembangunan pesantren sekaligus juga sebagai penasihat organisasi IKBAL (Ikatan Keluarga Besar AI-Ghazali).","Sedengkeun para sesepuh, nyaéta K. H. Mansoor, K. H. Endang Rahmat, KH.R. Totoh Abdul Fatah jeung palaputra pangadeg lianna minangka panaséhat dina pangwangunan pasantrén sakaligus ogé panaséhat organisasi IKBAL (Iketan Kulawarga Besar AI-Ghozali)."
